
22534,20117,23135,20795,19377,17909,16419, 5819, 5515, 5524, 5736, 5578, 5488, 5697, 5378,19403,20580,19629,18035,17807,18921,19950, 5603, 5545, 6708, 5516, 5687, 5688, 5832, 5963,
20510,18979,21665,19756,18193,16903,15417, 5728, 5595, 5612, 5718, 5485, 5634, 5619, 5410,17078,17799,16696,15393,15473,16601,17169, 5657, 5610, 6508, 5622, 5660, 5671, 5855, 5858,
19195,17759,20675,18625,16990,16195,14528, 5817, 5788, 5476, 5789, 5530, 5674, 5761, 5568,15763,15921,14926,13750,13615,14517,15197, 5599, 5736, 6509, 5550, 5764, 5710, 5871, 5900,
19021,17545,20297,18119,16556,15700,14168, 5948, 5721, 5739, 5876, 5583, 5771, 5831, 5581,15025,17182,16435,15225,14969,15978,16656, 5706, 5856, 6732, 5748, 5565, 5783, 6067, 5976,
19103,16998,19658,17983,16137,15553,13800, 5948, 5756, 5801, 5891, 5600, 5805, 5867, 5650,16079,18246,17415,16094,15903,16655,17339, 5760, 5889, 6664, 5688, 5741, 5716, 6013, 6051,
19683,17000,19664,17655,16088,15316,13713, 5930, 5919, 5784, 5810, 5707, 5932, 5897, 5638,16768,18294,17500,15944,15730,16708,17351, 5865, 6019, 6604, 5768, 5714, 5865, 6198, 6090,
19755,17140,19768,17768,16167,15483,13642, 5952, 5951, 5812, 5969, 5793, 5842, 5976, 5738,16995,18144,17277,15724,15213,16559,17199, 5859, 5831, 6567, 5758, 5847, 5921, 6009, 5987,
20189,16765,19078,17252,16091,15080,13369, 6017, 5869, 5774, 5974, 5865, 5949, 5957, 5746,16875,17854,16974,15753,15621,16630,17454, 5924, 6009, 6700, 5829, 5890, 6028, 6085, 6147,
20330,16538,19194,17118,15756,15229,13537, 6137, 5987, 5886, 6026, 5831, 5802, 6041, 5822,17037,18069,16899,15778,15248,16543,17141, 5857, 5892, 6832, 6057, 5882, 5976, 6148, 6057,
20463,16685,19163,17342,15847,14880,13509, 6017, 6017, 5878, 6114, 5917, 6002, 5987, 5749,17014,17850,16963,15520,15580,16568,16985, 5954, 6126, 6671, 5977, 5977, 5836, 6308, 6189,
20763,16625,18962,17408,15779,15257,13473, 6073, 5985, 5999, 6085, 5868, 5977, 5946, 5906,16843,17630,16740,15677,15386,16454,17144, 5981, 5992, 6807, 5952, 5858, 5922, 6304, 6231,
20802,16438,19150,17255,15672,14998,13279, 6013, 6022, 5854, 5894, 5895, 5959, 5961, 5713,16953,17793,16633,15558,15281,16743,17184, 6083, 6079, 6850, 6099, 5848, 5938, 6150, 6207,
