
 5951, 5078, 6284, 7011, 5613, 5800, 5124, 5462, 5281, 5171, 5473, 5136, 5326, 5462, 5053, 5416,17639,19133,17916,18384,18277,18618,19763,20032, 6407, 5198, 5223, 5191, 5673, 5688,
 6019, 4981, 6426, 7089, 5642, 5808, 5003, 5481, 5252, 5316, 5514, 5176, 5160, 5415, 5076, 5619,15190,16509,15539,15927,15573,16281,16747,16827, 6347, 5203, 5185, 5291, 5607, 5572,
 6042, 5103, 6300, 7053, 5748, 5778, 5170, 5623, 5325, 5232, 5507, 5267, 5187, 5497, 5027, 5683,13474,14114,13720,14070,13954,14449,14812,15272, 6439, 5121, 5294, 5356, 5591, 5705,
 6184, 5145, 6446, 7048, 5840, 5867, 5275, 5664, 5385, 5292, 5495, 5354, 5311, 5349, 5350, 5772,14611,15865,15139,15461,15749,16021,16855,16529, 6356, 5305, 5476, 5344, 5758, 5762,
 6271, 5242, 6464, 7144, 5968, 6005, 5219, 5708, 5463, 5340, 5676, 5308, 5554, 5586, 5238, 5849,15319,16144,15568,15679,15846,15924,16797,16856, 6547, 5470, 5411, 5487, 5922, 5777,
 6021, 5225, 6440, 7159, 5876, 6027, 5296, 5811, 5543, 5449, 5650, 5362, 5577, 5763, 5306, 5762,14727,15940,15188,15746,15568,16145,16852,16911, 6610, 5458, 5483, 5511, 5851, 5824,
 6364, 5334, 6594, 7084, 5980, 6080, 5404, 5711, 5680, 5522, 5604, 5466, 5544, 5589, 5304, 5746,14404,15954,15296,15359,15574,15897,16571,16477, 6653, 5464, 5711, 5589, 5910, 5938,
 6328, 5470, 6482, 7132, 5962, 6085, 5455, 5894, 5609, 5654, 5884, 5561, 5564, 5686, 5274, 5782,14356,15916,14994,15462,15403,15920,16390,16189, 6620, 5556, 5583, 5477, 5889, 5991,
 6204, 5426, 6639, 7211, 6013, 6252, 5374, 5827, 5629, 5522, 5587, 5544, 5587, 5833, 5616, 5984,14454,15748,15293,15529,15911,15786,16607,16716, 6818, 5578, 5446, 5680, 6057, 5785,
 6413, 5454, 6625, 7192, 6034, 6144, 5421, 5873, 5773, 5693, 5879, 5582, 5738, 5721, 5496, 5832,14353,16153,15017,15319,15377,15672,16272,16600, 6699, 5622, 5663, 5751, 6067, 5938,
 6362, 5479, 6554, 7311, 5997, 6107, 5414, 5924, 5705, 5558, 5779, 5582, 5547, 5833, 5531, 5860,14322,15563,14914,15384,15772,15859,16691,16740, 6667, 5808, 5644, 5725, 5869, 6069,
 6336, 5408, 6618, 7254, 6033, 6115, 5475, 6017, 5695, 5709, 5801, 5589, 5854, 5838, 5731, 5947,14237,15913,14797,15228,15634,15863,16511,16605, 6509, 5733, 5726, 5759, 6013, 6006,
 6350, 5589, 6704, 7217, 6093, 6277, 5611, 5975, 5881, 5781, 5818, 5657, 5862, 5853, 5599, 5989,14198,15914,15378,15475,15878,15984,16725,16787, 6695, 5752, 5716, 5770, 6079, 6052,
 6444, 5453, 6738, 7378, 6051, 6180, 5597, 5965, 5822, 5829, 5981, 5736, 5826, 5891, 5744, 6067,14130,15751,15134,15520,15725,15975,16492,16459, 6806, 5689, 5832, 5896, 6176, 6055,
 6423, 5651, 6666, 7177, 6176, 6209, 5641, 5891, 5928, 5833, 5929, 5667, 5928, 5949, 5605, 6004,14129,15741,15396,15398,15750,16057,16747,16344, 6700, 5799, 5913, 5812, 6109, 6122,
 6451, 5648, 6728, 7255, 6118, 6296, 5744, 6082, 5824, 5846, 5968, 5724, 5714, 6003, 5834, 6115,14039,15970,15450,15472,15822,15876,16507,16772, 6738, 5773, 5869, 5905, 6223, 6158,
 6558, 5741, 6762, 7217, 6242, 6393, 5785, 6184, 6067, 5966, 6003, 5901, 5892, 5892, 5588, 6219,13726,16158,15646,15389,15776,15867,16625,16859, 6725, 5740, 5981, 5939, 6326, 6199,
