
29166,29346,29335,29034,29786,21647,24073,22473,24994,25573,24934,24336,24507,24447, 5364, 5550, 5921, 5512, 5506, 5725, 5496, 5574, 5423, 5508, 6549, 5332, 5428, 5314, 5780, 5748,
26639,27562,26554,26569,27751,14409,15984,15946,17714,18143,17389,17406,16972,17081, 5258, 5493, 5819, 5568, 5605, 5651, 5495, 5707, 5431, 5594, 6449, 5422, 5463, 5424, 5822, 5832,
25144,25418,24841,24758,25115, 9268, 9360, 9926,10673,10856,10808,10741,10340,10562, 5380, 5642, 5899, 5681, 5659, 5668, 5571, 5669, 5492, 5669, 6500, 5475, 5501, 5413, 5811, 5822,
24046,24027,23567,23623,23666, 7803, 7483, 7976, 8338, 8201, 8207, 7991, 8047, 8401, 5431, 5659, 5794, 5683, 5733, 5785, 5635, 5682, 5700, 5723, 6452, 5625, 5690, 5493, 5887, 5876,
23437,23353,22971,22937,23178, 7248, 7266, 7335, 7631, 7850, 7532, 7425, 7516, 7706, 5585, 5826, 5931, 5623, 5785, 5887, 5813, 5734, 5676, 5795, 6606, 5551, 5521, 5768, 5958, 5956,
22664,23099,22633,22609,22986, 7193, 6876, 7373, 7308, 7219, 7474, 7461, 7281, 7755, 5504, 5604, 6050, 5914, 5747, 5935, 5800, 5788, 5585, 5821, 6735, 5725, 5701, 5672, 5899, 5919,
22797,23328,22531,22571,22593, 7124, 6995, 7210, 7320, 7191, 7452, 7057, 7075, 7357, 5574, 5854, 6097, 5752, 5815, 5925, 5891, 5807, 5708, 5888, 6673, 5643, 5807, 5736, 6006, 6011,
22684,22457,22327,22504,22688, 7174, 6771, 7025, 7372, 7179, 7186, 7124, 7060, 7455, 5625, 5833, 6110, 5899, 5902, 6081, 5944, 5850, 5670, 5983, 6727, 5656, 5654, 5750, 5915, 5930,
22765,22795,22546,22283,22521, 7294, 6885, 7037, 7244, 7305, 7393, 7009, 7242, 7249, 5656, 5814, 5999, 5811, 5887, 6135, 5848, 5993, 5780, 5823, 6822, 5805, 5644, 5796, 5997, 6155,
22554,22442,22501,22326,22496, 7329, 7056, 7119, 7188, 7240, 7483, 7136, 7092, 7445, 5813, 5908, 6158, 5807, 5797, 6039, 5877, 5854, 5911, 5910, 6709, 5721, 5806, 5853, 6172, 6163,
22317,22604,22356,22332,22315, 7279, 7410, 7232, 7196, 7259, 7373, 7087, 7160, 7426, 5745, 5922, 6197, 5837, 5839, 6072, 5815, 6020, 5890, 5955, 6795, 5803, 5758, 5794, 5988, 6124,
22239,22711,22243,21857,22545, 7711,10245, 7292, 7398, 7342, 7348, 7175, 7217, 7333, 5857, 6013, 6069, 6042, 5967, 6184, 6032, 6195, 5922, 5869, 6691, 5739, 5808, 5800, 6173, 6081,
22366,22795,22189,22257,22314, 9829,19719, 8888, 8459, 8271, 8108, 7943, 8116, 7634, 5866, 6091, 6187, 5981, 5969, 6031, 5936, 6028, 5819, 6004, 6665, 5963, 5833, 5812, 6117, 6134,
22382,22954,22452,22758,22750,17438,27448,16196,14052,13820,12780,12408,12419, 8282, 5771, 5933, 6292, 5988, 6015, 6123, 5969, 6094, 5967, 6090, 6821, 5851, 5888, 5845, 6206, 6196,
22509,22551,22253,22361,22448,23991,29584,23888,24936,25191,23358,23099,23257,12418, 5828, 6128, 6185, 6077, 6159, 6254, 6226, 6024, 6016, 6065, 6913, 5854, 5994, 5910, 6129, 6262,
22532,22624,22402,22259,22369,26525,30367,26428,29749,29763,28563,28118,28390,22209, 5914, 6107, 6305, 6187, 6064, 6230, 6004, 5985, 5943, 6092, 6861, 6003, 5840, 6055, 6243, 6312,
22555,22222,22276,22470,22208,27132,30482,27080,30724,30983,30024,30044,30008,27445, 5784, 6103, 6323, 6144, 6086, 6257, 6098, 6207, 5973, 5951, 6797, 6077, 6034, 5977, 6268, 6235,
22548,22835,22499,22468,22598,27314,31223,27607,31436,31711,30795,30417,30928,28974, 5884, 5992, 6163, 6128, 6056, 6183, 6228, 6192, 5954, 6100, 6891, 5907, 6065, 6176, 6407, 6256,
22541,22507,22265,22455,22810,27992,31324,27948,31788,32137,31208,30695,31018,29546, 5894, 6071, 6381, 6078, 6136, 6297, 6109, 6098, 5987, 6203, 6933, 5961, 6005, 6027, 6417, 6413,
22338,22717,22404,22480,22616,28240,31862,28189,32230,32983,31355,31412,31577,30269, 5868, 6263, 6361, 6194, 6273, 6260, 6116, 6234, 6033, 6189, 7031, 6112, 6007, 6089, 6297, 6487,
22553,22662,22481,22474,22641,28480,31436,28475,32866,33055,31957,31844,31914,30753, 5944, 6068, 6363, 6126, 6098, 6287, 6155, 6160, 6117, 6273, 6942, 6031, 6156, 6104, 6239, 6285,
22463,22675,22322,22615,22514,29009,32068,29079,32554,33220,32152,32227,32356,30620, 5937, 6243, 6446, 6058, 6258, 6325, 6195, 6157, 6072, 6318, 6844, 6049, 6003, 5997, 6492, 6441,
22609,22560,22092,22324,22769,29170,31874,29067,33253,33377,32489,32502,32514,31057, 5980, 6080, 6564, 6110, 6166, 6228, 6117, 6301, 6142, 6123, 7023, 6203, 6085, 6130, 6282, 6291,
22614,22710,22347,22463,22796,29431,31840,29254,33003,33437,32287,31915,32480,31383, 6196, 6196, 6349, 6175, 6208, 6425, 6196, 6180, 6180, 6296, 6804, 6168, 6098, 6092, 6313, 6252,
22434,22633,22261,22666,22701,29094,32246,29499,32999,33767,32437,31959,32881,31766, 5978, 6090, 6441, 6244, 6239, 6360, 6121, 6188, 6142, 6347, 6977, 6116, 6091, 6110, 6389, 6213,
22550,22663,22466,22864,22553,29549,32438,29291,33231,33482,32412,32530,32806,31768, 6074, 6198, 6488, 6369, 6202, 6371, 6227, 6255, 6232, 6207, 6972, 6138, 6158, 6124, 6505, 6371,
21537,22401,21756,21878,22345,29348,32415,29350,33135,33406,32409,32095,32807,32011, 6128, 6320, 6449, 6222, 6239, 6397, 6316, 6372, 6143, 6310, 7027, 6174, 6014, 6112, 6503, 6316,
21780,22630,21842,21309,21926,29542,32501,29284,33118,33707,32585,32378,32509,31990, 6069, 6219, 6531, 6299, 6281, 6481, 6418, 6325, 6158, 6357, 6974, 6276, 6114, 6071, 6377, 6426,
21784,22779,21537,21327,22123,29344,32562,29278,32913,33720,32780,32421,32374,32275, 6170, 6300, 6501, 6266, 6241, 6391, 6386, 6463, 6116, 6389, 6993, 6172, 6199, 6176, 6312, 6407,
21853,22640,21759,21879,22237,29726,32536,29367,32685,33828,32634,32434,32848,32080, 6142, 6285, 6426, 6283, 6229, 6366, 6348, 6352, 6192, 6211, 6969, 6303, 6228, 6228, 6352, 6406,
