sample_id,local_sample_id,batch_start,batch_end,batch_name,sample_id_mode,sample_id_warning,file,file_path,relative_path,parent_dir,suffix,sample_slot,well_start,well_end,sample_layout
23,12,1,1600,结果1-1600,two_per_file,,检测结果 (12).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (12).csv,结果汇总\结果1-1600\10-99\检测结果 (12).csv,10-99,.csv,1,1,15,two_per_file_15x2
24,12,1,1600,结果1-1600,two_per_file,,检测结果 (12).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (12).csv,结果汇总\结果1-1600\10-99\检测结果 (12).csv,10-99,.csv,2,16,30,two_per_file_15x2
25,13,1,1600,结果1-1600,two_per_file,,检测结果 (13).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (13).csv,结果汇总\结果1-1600\10-99\检测结果 (13).csv,10-99,.csv,1,1,15,two_per_file_15x2
26,13,1,1600,结果1-1600,two_per_file,,检测结果 (13).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (13).csv,结果汇总\结果1-1600\10-99\检测结果 (13).csv,10-99,.csv,2,16,30,two_per_file_15x2
27,14,1,1600,结果1-1600,two_per_file,,检测结果 (14).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (14).csv,结果汇总\结果1-1600\10-99\检测结果 (14).csv,10-99,.csv,1,1,15,two_per_file_15x2
28,14,1,1600,结果1-1600,two_per_file,,检测结果 (14).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (14).csv,结果汇总\结果1-1600\10-99\检测结果 (14).csv,10-99,.csv,2,16,30,two_per_file_15x2
29,15,1,1600,结果1-1600,two_per_file,,检测结果 (15).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (15).csv,结果汇总\结果1-1600\10-99\检测结果 (15).csv,10-99,.csv,1,1,15,two_per_file_15x2
30,15,1,1600,结果1-1600,two_per_file,,检测结果 (15).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (15).csv,结果汇总\结果1-1600\10-99\检测结果 (15).csv,10-99,.csv,2,16,30,two_per_file_15x2
31,16,1,1600,结果1-1600,two_per_file,,检测结果 (16).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (16).csv,结果汇总\结果1-1600\10-99\检测结果 (16).csv,10-99,.csv,1,1,15,two_per_file_15x2
32,16,1,1600,结果1-1600,two_per_file,,检测结果 (16).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (16).csv,结果汇总\结果1-1600\10-99\检测结果 (16).csv,10-99,.csv,2,16,30,two_per_file_15x2
33,17,1,1600,结果1-1600,two_per_file,,检测结果 (17).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (17).csv,结果汇总\结果1-1600\10-99\检测结果 (17).csv,10-99,.csv,1,1,15,two_per_file_15x2
34,17,1,1600,结果1-1600,two_per_file,,检测结果 (17).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (17).csv,结果汇总\结果1-1600\10-99\检测结果 (17).csv,10-99,.csv,2,16,30,two_per_file_15x2
35,18,1,1600,结果1-1600,two_per_file,,检测结果 (18).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (18).csv,结果汇总\结果1-1600\10-99\检测结果 (18).csv,10-99,.csv,1,1,15,two_per_file_15x2
36,18,1,1600,结果1-1600,two_per_file,,检测结果 (18).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (18).csv,结果汇总\结果1-1600\10-99\检测结果 (18).csv,10-99,.csv,2,16,30,two_per_file_15x2
37,19,1,1600,结果1-1600,two_per_file,,检测结果 (19).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (19).csv,结果汇总\结果1-1600\10-99\检测结果 (19).csv,10-99,.csv,1,1,15,two_per_file_15x2
38,19,1,1600,结果1-1600,two_per_file,,检测结果 (19).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (19).csv,结果汇总\结果1-1600\10-99\检测结果 (19).csv,10-99,.csv,2,16,30,two_per_file_15x2
39,20,1,1600,结果1-1600,two_per_file,,检测结果 (20).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (20).csv,结果汇总\结果1-1600\10-99\检测结果 (20).csv,10-99,.csv,1,1,15,two_per_file_15x2
40,20,1,1600,结果1-1600,two_per_file,,检测结果 (20).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (20).csv,结果汇总\结果1-1600\10-99\检测结果 (20).csv,10-99,.csv,2,16,30,two_per_file_15x2
41,21,1,1600,结果1-1600,two_per_file,,检测结果 (21).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (21).csv,结果汇总\结果1-1600\10-99\检测结果 (21).csv,10-99,.csv,1,1,15,two_per_file_15x2
42,21,1,1600,结果1-1600,two_per_file,,检测结果 (21).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (21).csv,结果汇总\结果1-1600\10-99\检测结果 (21).csv,10-99,.csv,2,16,30,two_per_file_15x2
43,22,1,1600,结果1-1600,two_per_file,,检测结果 (22).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (22).csv,结果汇总\结果1-1600\10-99\检测结果 (22).csv,10-99,.csv,1,1,15,two_per_file_15x2
44,22,1,1600,结果1-1600,two_per_file,,检测结果 (22).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (22).csv,结果汇总\结果1-1600\10-99\检测结果 (22).csv,10-99,.csv,2,16,30,two_per_file_15x2
45,23,1,1600,结果1-1600,two_per_file,,检测结果 (23).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (23).csv,结果汇总\结果1-1600\10-99\检测结果 (23).csv,10-99,.csv,1,1,15,two_per_file_15x2
46,23,1,1600,结果1-1600,two_per_file,,检测结果 (23).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (23).csv,结果汇总\结果1-1600\10-99\检测结果 (23).csv,10-99,.csv,2,16,30,two_per_file_15x2
47,24,1,1600,结果1-1600,two_per_file,,检测结果 (24).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (24).csv,结果汇总\结果1-1600\10-99\检测结果 (24).csv,10-99,.csv,1,1,15,two_per_file_15x2
48,24,1,1600,结果1-1600,two_per_file,,检测结果 (24).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (24).csv,结果汇总\结果1-1600\10-99\检测结果 (24).csv,10-99,.csv,2,16,30,two_per_file_15x2
49,25,1,1600,结果1-1600,two_per_file,,检测结果 (25).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (25).csv,结果汇总\结果1-1600\10-99\检测结果 (25).csv,10-99,.csv,1,1,15,two_per_file_15x2
50,25,1,1600,结果1-1600,two_per_file,,检测结果 (25).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (25).csv,结果汇总\结果1-1600\10-99\检测结果 (25).csv,10-99,.csv,2,16,30,two_per_file_15x2
51,26,1,1600,结果1-1600,two_per_file,,检测结果 (26).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (26).csv,结果汇总\结果1-1600\10-99\检测结果 (26).csv,10-99,.csv,1,1,15,two_per_file_15x2
52,26,1,1600,结果1-1600,two_per_file,,检测结果 (26).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (26).csv,结果汇总\结果1-1600\10-99\检测结果 (26).csv,10-99,.csv,2,16,30,two_per_file_15x2
53,27,1,1600,结果1-1600,two_per_file,,检测结果 (27).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (27).csv,结果汇总\结果1-1600\10-99\检测结果 (27).csv,10-99,.csv,1,1,15,two_per_file_15x2
54,27,1,1600,结果1-1600,two_per_file,,检测结果 (27).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (27).csv,结果汇总\结果1-1600\10-99\检测结果 (27).csv,10-99,.csv,2,16,30,two_per_file_15x2
55,28,1,1600,结果1-1600,two_per_file,,检测结果 (28).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (28).csv,结果汇总\结果1-1600\10-99\检测结果 (28).csv,10-99,.csv,1,1,15,two_per_file_15x2
56,28,1,1600,结果1-1600,two_per_file,,检测结果 (28).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (28).csv,结果汇总\结果1-1600\10-99\检测结果 (28).csv,10-99,.csv,2,16,30,two_per_file_15x2
57,29,1,1600,结果1-1600,two_per_file,,检测结果 (29).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (29).csv,结果汇总\结果1-1600\10-99\检测结果 (29).csv,10-99,.csv,1,1,15,two_per_file_15x2
58,29,1,1600,结果1-1600,two_per_file,,检测结果 (29).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (29).csv,结果汇总\结果1-1600\10-99\检测结果 (29).csv,10-99,.csv,2,16,30,two_per_file_15x2
